Trip_ID,Destination,State,Days,Travelers,Hotel_Type,Hotel_Cost,Food_Cost,Transport_Cost,Activity_Cost,Shopping_Cost,Season,Travel_Mode,Total_Expense
1,Mysore,Karnataka,5,2,Premium,35000,7027,9942,3145,6534,Summer,Flight,61648
2,Mumbai,Maharashtra,3,4,Premium,21000,9038,1539,3399,5329,Summer,Bus,40305
3,Goa,Goa,7,1,Luxury,91000,5650,9697,9058,4384,Summer,Flight,119789
4,Delhi,Delhi,6,1,Premium,42000,5599,2173,10854,5424,Summer,Bus,66050
5,Delhi,Delhi,6,1,Budget,9000,4398,2383,3738,942,Summer,Bus,20461
6,Mumbai,Maharashtra,8,2,Luxury,104000,11293,3000,13856,7871,Monsoon,Train,140020
7,Goa,Goa,7,1,Budget,10500,5765,3438,7084,9723,Monsoon,Train,36510
8,Shimla,Himachal Pradesh,6,2,Premium,42000,8548,3748,9312,2517,Monsoon,Train,66125
9,Agra,Uttar Pradesh,8,3,Standard,28000,17485,3242,10744,4714,Winter,Train,64185
10,Shimla,Himachal Pradesh,2,1,Luxury,26000,2523,5365,1386,474,Winter,Car,35748
11,Shimla,Himachal Pradesh,2,3,Standard,7000,4278,1744,2020,6075,Monsoon,Bus,21117
12,Delhi,Delhi,4,3,Luxury,52000,8614,9891,2384,6354,Summer,Flight,79243
13,Varanasi,Uttar Pradesh,10,5,Luxury,130000,36039,5418,11260,7401,Summer,Car,190118
14,Jaipur,Rajasthan,5,5,Budget,7500,18252,9979,2940,1241,Winter,Flight,39912
15,Jaipur,Rajasthan,4,1,Budget,6000,3704,9523,6120,9320,Summer,Flight,34667
16,Goa,Goa,10,1,Standard,35000,7983,9238,11140,5227,Summer,Flight,68588
17,Delhi,Delhi,10,3,Luxury,130000,21051,5585,18180,1571,Summer,Car,176387
18,Mumbai,Maharashtra,9,1,Luxury,117000,6594,3370,4725,8394,Monsoon,Train,140083
19,Udaipur,Rajasthan,6,2,Premium,42000,9521,3059,4290,8661,Monsoon,Train,67531
20,Manali,Himachal Pradesh,7,6,Standard,24500,29460,5624,5446,5287,Monsoon,Car,70317
21,Shimla,Himachal Pradesh,5,1,Budget,7500,4822,5484,5770,519,Winter,Car,24095
22,Varanasi,Uttar Pradesh,9,1,Luxury,117000,6343,1776,15822,6651,Monsoon,Bus,147592
23,Udaipur,Rajasthan,8,5,Premium,56000,28182,9693,11032,4303,Summer,Flight,109210
24,Goa,Goa,3,4,Premium,21000,9190,3173,1776,5061,Winter,Train,40200
25,Goa,Goa,10,4,Luxury,130000,28038,3987,7820,1651,Winter,Train,171496
26,Manali,Himachal Pradesh,9,3,Premium,63000,20328,5669,12573,9370,Summer,Car,110940
27,Jaipur,Rajasthan,4,2,Luxury,52000,6819,5835,7428,6751,Summer,Car,78833
28,Varanasi,Uttar Pradesh,4,3,Luxury,52000,9154,1887,3560,3664,Summer,Bus,70265
29,Shimla,Himachal Pradesh,3,5,Premium,21000,10828,2437,3921,4309,Winter,Bus,42495
30,Mysore,Karnataka,10,6,Standard,35000,43136,3252,10370,50,Monsoon,Train,91808
31,Varanasi,Uttar Pradesh,8,2,Luxury,104000,11218,9048,9040,3459,Summer,Flight,136765
32,Mumbai,Maharashtra,5,5,Budget,7500,18650,5182,3605,3663,Monsoon,Car,38600
33,Delhi,Delhi,8,5,Luxury,104000,29216,3378,6272,747,Winter,Train,143613
34,Mumbai,Maharashtra,9,2,Budget,13500,13437,5493,15417,8189,Winter,Car,56036
35,Mumbai,Maharashtra,8,6,Budget,12000,34578,1952,10584,5583,Monsoon,Bus,64697
36,Delhi,Delhi,8,4,Standard,28000,22958,1631,8912,1621,Summer,Bus,63122
37,Udaipur,Rajasthan,4,4,Standard,14000,11456,9982,4428,6554,Monsoon,Flight,46420
38,Jaipur,Rajasthan,3,2,Budget,4500,4629,3968,5943,9198,Monsoon,Train,28238
39,Jaipur,Rajasthan,3,2,Budget,4500,4713,3079,4125,5526,Monsoon,Train,21943
40,Agra,Uttar Pradesh,3,6,Budget,4500,13848,3345,5484,4209,Winter,Train,31386
41,Mysore,Karnataka,9,1,Budget,13500,6765,5445,17883,7443,Monsoon,Car,51036
42,Goa,Goa,3,3,Standard,10500,7624,1989,3255,7253,Summer,Bus,30621
43,Varanasi,Uttar Pradesh,10,6,Luxury,130000,42426,3712,19610,8960,Monsoon,Train,204708
44,Agra,Uttar Pradesh,4,1,Standard,14000,4165,1956,6456,2106,Winter,Bus,28683
45,Varanasi,Uttar Pradesh,5,1,Luxury,65000,4036,9382,3790,2940,Summer,Flight,85148
46,Mysore,Karnataka,8,2,Budget,12000,11684,3015,7496,7608,Winter,Train,41803
47,Goa,Goa,3,3,Luxury,39000,7332,2369,3378,6024,Winter,Bus,58103
48,Shimla,Himachal Pradesh,4,1,Budget,6000,2975,5759,2176,3543,Summer,Car,20453
49,Manali,Himachal Pradesh,9,5,Standard,31500,31531,5272,15444,7176,Summer,Car,90923
50,Shimla,Himachal Pradesh,6,1,Premium,42000,4785,3643,9228,5178,Summer,Train,64834
51,Shimla,Himachal Pradesh,10,3,Premium,70000,21813,3668,8040,193,Monsoon,Train,103714
52,Jaipur,Rajasthan,4,1,Standard,14000,3754,3910,3820,6189,Monsoon,Train,31673
53,Jaipur,Rajasthan,6,6,Budget,9000,25283,1938,10866,3633,Summer,Bus,50720
54,Agra,Uttar Pradesh,8,1,Standard,28000,5682,5741,5016,4080,Summer,Car,48519
55,Delhi,Delhi,2,6,Standard,7000,9287,1671,3608,2528,Monsoon,Bus,24094
56,Mysore,Karnataka,6,3,Premium,42000,13969,9713,5106,1817,Summer,Flight,72605
57,Goa,Goa,3,5,Luxury,39000,11495,3074,5037,4644,Winter,Train,63250
58,Goa,Goa,5,3,Budget,7500,11716,1997,8175,4980,Winter,Bus,34368
