Name,City,State,Type,Star_Rating,Rating,latitude,longitude,address
Baragarh Regency,Manali,Himachal Pradesh,Resort,2.0,4.0,32.1393865,77.1546599,"15th Mile, N.H.21,Manali, District Kullu,Himachal Pradesh"
Asian Suites A- 585,Gurgaon,Haryana,Guest House,0.0,4.5,28.4720966,77.0725457,"A-585, Sushant Lok-1 ,Near Iffco Chowk Metro Station, Gurgaon"
Bevvan Resort,Goa,Goa,Resort,0.0,2.5,15.5483979815,73.7576337604,"Cobra Vaddo,Calungate Baga Road, Bardez, Calangute, Goa"
Apple Inn Cottage,Manali,Himachal Pradesh,Cottage,2.0,5.0,32.2236026,77.1858995,Simsa
Anmol Hotel Pvt.Ltd,Delhi,Delhi,Hotel,2.0,2.8,28.6467775,77.2127353,"8180 Street No.-6,Arakashan Road,Paharganj"
Baia Do Sol (A Boutique Beach Resort),Goa,Goa,Resort,3.0,3.9,15.5609234692,73.7497587248,"Baga Beach, Calangute, Goa"
Balaji Residency,Delhi,Delhi,Hotel,2.0,0.0,28.5403197,77.2613326,"K-69, Kalkaji"
BB Palace-A Boutique Hotel,Delhi,Delhi,Hotel,3.0,4.0,28.6505881342,77.1946919955,"2638-2642 Gurudwara Road,Karol Bagh"
Art Inn Homestay,Jaipur,Rajasthan,Homestay,1.0,3.0,26.9047751,75.7488641,"85, gomes defence, III rd Avenue, vaishali nagar, Jaipur, Rajasthan"
Arjun Homestay,Delhi,Delhi,Homestay,0.0,0.0,28.5732907,77.2219418,51 Amri Nagar south ex
Ashirwad Homestay,Guwahati,Assam,Hotel,0.0,4.3,26.1661828147,91.7774135711,"Ashirwad Enclave, Lakhimi Path, Jonali, R.G.Baruah Road,"
Apna Ghar- Sector 46,NOIDA,Uttar Pradesh,Guest House,0.0,0.0,28.5522379,77.3597194,"Near Botanical Garden Metro Station,Sec  -  46"
Baba Guest House,Delhi,Delhi,Guest House,0.0,0.0,28.7097476,77.1103954,"429, Sector-6, Rohini, Near Vidha Jain Public School"
Baragarh Villa,Manali,Himachal Pradesh,Villa,4.0,0.0,32.2459026,77.1880853,"Village Gurdorh, Naggar Road, Manali,Distt. Kullu Himachal Pradesh"
Annapurna Guest House,Goa,Goa,Guest House,0.0,4.6,15.5049283,73.7919103,"Titawada, Nerul Bardez Goa"
ARAVINDAR RESIDENCY,Chennai,Tamil Nadu,Hotel,0.0,3.6,12.8944628,80.2273584,"Plot No:2,Elcot Avenue,Rajiv Gandhi Road,(OMR),Near Sozhanganallur Signal, before aavin milk factory"
Balaram Palace Resort,Chitrasani,Gujarat,Palace,3.0,1.0,24.26778,72.483507,"Chitrasani Village, Off. Abu-Palanpur Highway No. 14, Banaskantha, Gujarat"
Bhadrawati Safari Lodge,Sawai Madhopur,Rajasthan,Lodge,0.0,0.0,26.0065687,76.6037222,"Village Savti, Dharampuri, P.O. Daulatpura, Distt. Khandar"
AS Clarks inn,Dalhousie,Himachal Pradesh,Hotel,3.0,4.2,32.537371,75.9824737,"NT Mall Road, Dalhousie ,176304(HP)"
"Beautiful Alleppey Tours Two Bedroom, Alleppey",Alleppey,Kerala,Houseboat,0.0,0.0,9.4980667,76.3388484,"Mullassery Building, Near Pallathuruthy Bridge, AC Road, Alleppey, Kerala, 688003"
Ashiyana,Pune,Maharashtra,Homestay,0.0,0.0,18.4788581929,73.8223181405,Sinhgad road pune
ASHIRWAD LODGING,Nanded,Maharashtra,Hotel,0.0,3.2,19.1382514,77.3209555,"Railway Station Rd,NEAR SHIVAJI STATUE,NANDED,MAHARASHTRA."
Aqua Marina Drive Inn,Mandarmani,West Bengal,Resort,0.0,4.5,21.6614133299,87.6978331375,"Dadanpatrabar, Mandarmani."
Annai Illam Guest House,Yercaud,Tamil Nadu,Guest House,0.0,4.6,11.7887759755,78.211105642,"Nagalore road  Opp petrol bunk,"
Bella Marina Villa,Manali,Himachal Pradesh,Hotel,0.0,4.0,32.212801114,77.198374263,"Shuru, PO Prini, Manali"
ATOM Guest House,Gurgaon,Haryana,Guest House,0.0,0.0,28.4667564,77.0930199,"plot no 56, ghata village, gurgaon"
Bendmeer Group of House Boat and Resorts,Srinagar,Jammu and Kashmir,Houseboat,0.0,0.0,34.0988217041,74.8429782876,"Bendemeer Group of House boat, Ghat No 7, Boulevard Road, Srinagar, Jammu and Kashmir"
Balaji Resorts,Pune,Maharashtra,Resort,0.0,0.0,18.2962689,73.637432,"Gat no 1000, At post Dapode Khariv Bandhara, Taluka Velhe"
Asha Sukha Nivas Laudge,Chiplun,Maharashtra,Lodge,0.0,0.0,17.5323106,73.5177928,Near Central St Stand
AR Suites Fontana Bay,Pune,Maharashtra,Service Apartment,4.0,4.6,18.5479334006,73.9009630948,"Road No. 2, Central Avenue,Kalyani Nagar"
Atithi Cottages,Manali,Himachal Pradesh,Hotel,3.0,2.9,32.226787,77.1854487,"Village Simsa, Kanyal Road"
Aurick Hotel,Bangalore,Karnataka,Hotel,4.0,4.0,12.9058293,77.5783209,"# 598, 15th Cross, 35th Main,6th Phase, JP Nagar"
Anugraha Deluxe Hotel,Bagalkot,Karnataka,Hotel,1.0,0.0,16.1846503,75.7009452,"Near Bus Stand, Station Road, Bagalkot, Karnataka PIN 587101"
Best Western Plus Ekobarn,Wayanad,Kerala,Hotel,4.0,4.3,11.6045217,76.0834992,"Near New Bus Terminal, Main Road,Kalpetta, Wayanad"
Aura Vaseela,Chandigarh,Punjab,Resort,0.0,1.6,30.7046486,76.7178726,"Village Nadiali, P.O. Dharamgarh, Near Nabha Sabhib Gurudwara, Ajitgarh, Chandigarh"
Anupam Resorts,Mcleodganj,Himachal Pradesh,Resort,2.0,4.1,32.2418621,76.3208346513,"Naddi, Dal Lake, Mcleod Ganj"
Atharv Coastal End Guest House,Goa,Goa,Guest House,0.0,3.4,15.5606883347,73.7527654812,"Near La calypso casino, Saunta Waddo, Baga Beach"
Badrish,Rishikesh,Uttarakhand,Hotel,2.0,0.0,30.0869281,78.2676116,Badrish Hotal Near Tapowan Choki
Balaji Inn,Anantapur,Andhra Pradesh,Hotel,0.0,0.0,14.4158928,77.7255276,"Adjacent Chakravarthy Theater, KPT St, Siva Nagar, Dharmavaram,Anantapu"
Ashokas Naini Chalet,Nainital,Uttarakhand,Resort,4.0,3.5,29.4240533,79.4266449,"Kilbury Forest Road,  Village Pangot, Nainital (approx 13Kms from Town)"
Apex Residency,Palakkad,Kerala,Hotel,0.0,0.0,10.7770321,76.6763738,"#1, V H Road, Palakkad 678701"
Bens Houseboats 4 Bed Room A/c DLX (4),Alleppey,Kerala,Houseboat,0.0,0.0,9.4980667,76.3388484,"S.N Junction, Punnamada, Alappuzha"
BE MY GUEST,Srinagar,Jammu and Kashmir,Guest House,0.0,0.0,34.1255413,74.9442585,shahi hamdan colony zukroo
AVNB Towers,Chennai,Tamil Nadu,Hotel,2.0,3.6,12.9661099,80.1479566,"No.7.Dharga Road, Pallavaram,"
ATITHI RESIDENCY - MARTHAHALLI,Bangalore,Karnataka,Hotel,0.0,4.3,12.9570902252,77.7022349063,"No 6/16, munnekolalu extention, ashwathnagar, varthur hobli"
AROMA,Pushkar,Rajasthan,Hotel,0.0,4.1,26.489749,74.5510856,"122 / 3, Near Bharma Temple"
Bahar Homestay,Dapoli Camp,Maharashtra,Homestay,0.0,0.0,17.7656238,73.1674128,"Gimhavne, Dapoli"
BEACH HOTEL,Calicut,Kerala,Hotel,0.0,0.0,11.2587531,75.78041,"Beach Road, Calicut Pin - 673 032 Kerala, India"
Arjun Villa,Goa,Goa,Guest House,0.0,4.4,15.5809248,73.7448437,"House No. 681/1 , Demello Vaddo,Anjuna Beach Road,4th lane left from Starco Junction,Anjuna- Goa."
Awesome Palace,Guwahati,Assam,Guest House,3.0,4.0,26.1783205,91.7530844,"christain basti , opposite passport seva kendra, walford"
Arpanaa Hotel,Tiruvannamalai,Tamil Nadu,Hotel,3.0,4.5,12.2358388,79.0263645,"No.7 Sriram Nagar, Polur Road"
Athidhi Guest House,Hyderabad,Andhra Pradesh,Guest House,0.0,0.0,15.9128998,79.7399875,"Flat no 308,Block 2,Sarada Apartments II, Next lane to Axis Bank, Road No.1, Banjara Hills"
Astoria Hotel,Mumbai,Maharashtra,Hotel,3.0,0.0,18.9304462,72.8260931,"J. Tata Road, Churchgate Reclamation   Opp Eros Cinema mumbai 400020"
Bhagirathi Palace,Rishikesh,Uttarakhand,Hotel,2.0,3.1,30.131591,78.3241469,Badrinath Road Tapovan Rishikesh
Arihant Guest House.,Gwalior,Madhya Pradesh,Hotel,0.0,2.7,26.1973344,78.1684973,"Behind sardar petrol pump, kampoo, lashkar gwalior"
Avadh INN,Lucknow,Uttar Pradesh,BnB,0.0,3.8,26.8481666,80.98527,"2/372, Vishal Khand, Gomti Nagar Lucknow, Lucknow - 226001, Near CMS"
Athithi Homes,Ernakulam,Kerala,Homestay,0.0,0.0,9.976876034,76.3026112597,"No. 8 Kumaranasan Nagar, Kadavanthra, Kochi"
Bens Houseboats 4 Bed Room A/c DLX (2),Alleppey,Kerala,Houseboat,0.0,0.0,9.4980667,76.3388484,"S.N Junction, Punnamada, Alappuzha"
Antares Beach Resort,Goa,Goa,Resort,0.0,3.9,15.5945406935,73.7343353022,"Small Vagator Beach, Vagator Bardez Goa"
Backpacker Panda Jaipur,Jaipur,Rajasthan,Hostel,2.0,4.4,26.9182202278,75.7997847462,"MI Road, Opp Om Towers, next to ICICI Bank ATM"
Avasa Hotel,Noida,Uttar Pradesh,Hotel,0.0,1.3,28.5411427947,77.3828284668,"A-23, Sector 51, Near Community Center, Noida"
Bagh Tola Kanha,Kanha,Madhya Pradesh,Resort,1.0,0.0,22.2830364,80.6181218,"Village Bhimlat,Dist.Balaghat"
ANNAS HOMESTAY,Munnar,Kerala,Homestay,1.0,0.0,10.0889333,77.0595248,"Chithirapuram P.O Thattathimukku, Anachal, Munnar  Munnar, Chithirapuram, Munnar 685565, India"
Antonys Eco Houseboat,Alleppey,Kerala,Houseboat,0.0,0.0,9.4980667,76.3388484,"near hanuman temple,old foot bridge"
Araliayas Resort,Udaipur,Rajasthan,Resort,3.0,4.2,24.5443247803,73.6441764164,"Udaipur Jhadol Road,  Near Nai Gaon, Udaipur"
Bhagini Residency,Bangalore,Karnataka,Hotel,0.0,0.0,12.9715987,77.5945627,"139/C1, Next to G R Tech Park, Pattandur  Agrahara ITPL Main Road, Whitefield,   Bangalore-66"
AP House,Faizabad,Uttar Pradesh,Hotel,1.0,0.0,28.6139391,77.2090212,"Opp. Brijkishore Homeopathic College,Near Allahabad Bank,Devkali Road,Faizabad"
Aura Foothills,Bangalore,Karnataka,Homestay,0.0,0.0,13.370154,77.6834551,"Nandi Hills, hegedahalli village Banglore"
Ayur County,Munnar,Kerala,Resort,3.0,3.7,10.03087,77.1618783,"Ayur County Mountain Resorts, Chinnakanal P.O, Munnar"
Bay Luxe,Goa,Goa,Hotel,3.0,4.0,15.2993265,74.123996,"Anjuna German Bakery Road , next to German bakery and curlies shack,Anjuna, Goa"
Basera Guest House,Rohtak,Haryana,Guest House,0.0,0.0,28.8890982,76.6138327,"689/27 Opposite chand health club,model town"
Arya Beach Resort Mandarmani,Mandarmani,West Bengal,Resort,2.0,3.5,21.659977,87.6908123,"Mandarmani, East Medinipur"
Antiguo Alibaug,Raigad,Maharashtra,Bungalow,0.0,0.0,18.7624023,72.8652243,"Awas Rd., Near Awas Beach, Alibaug, Maharasthra 402201"
Bellmount Resorts,Munnar,Kerala,Resort,3.0,4.2,10.0866509,77.0610071,"N.H.Road, Central Munnar"
Bean Stalk Bagmane Homestay,Chikmagalur,Karnataka,Homestay,1.0,0.0,13.3685736,75.6571751,"Bagmane Estate, Mallandor P.O 15"
"Banayan Appartment ,Russell Street",Kolkata,West Bengal,Service Apartment,0.0,0.0,22.5827198,88.40827942,"4D, 4th /Floor, 12B Russel Street"
Baragarh Villa,Manali,Himachal Pradesh,Resort,3.0,0.0,32.2396325,77.1887145,"Baragarh Villa Baragarh Estate, Village Gurdorh, PO Larenkelo Distt. Kullu Himachal Pradesh"
BAZIRA COTTAGES,Manali,Himachal Pradesh,Hotel,0.0,0.0,32.0965025688,77.1267876583,"VILL DAWADA, NH 21 MANALI  175131"
Ayushi Ayurvedi Retreat,Varkala,Kerala,Guest House,0.0,0.0,28.6139391,77.2090212,"near helipad,cliff beach,varkala"
AVANTHIKA HOMESTAY,Thrissur,Kerala,Homestay,0.0,0.0,10.4184641,76.0994875,palath house po nattika beach Thrissur kerala 680566
ASTORIA VEG,Kodaikanal,Tamil Nadu,Hotel,0.0,0.0,10.235603779,77.4924222226,"Anna Salai, Near. Bus Stand"
Arvind Niwas,Malwan,Maharashtra,Homestay,0.0,0.0,16.1086061,73.471054,"Kolamb village, Malvan"
Balaji Residency,Chennai,Tamil Nadu,Hotel,2.0,3.4,13.0694273,80.1980712,"No.4, E-Road, (Near Omni Bus Stand) Koyambedu"
Aryan Hotel,Lucknow,Uttar Pradesh,Hotel,0.0,2.7,26.8619742962,80.9784085179,"Near Nehru Enclave , Bari Jugallie Gomti Nagar,"
Bens Houseboats 2 Bed Room A/c DLX (2),Alleppey,Kerala,Houseboat,0.0,0.0,9.4980667,76.3388484,"S.N Junction, Punnamada, Alappuzha"
Best Western Plus O2,Indore,Madhya Pradesh,Hotel,4.0,4.5,22.7176110782,75.8746234387,"31/1, South Tukoganj  Indore"
Aspni Inn,Chennai,Tamil Nadu,Hotel,3.0,3.3,13.054749,80.2111616,"77, Jawaharlal Nehru Road, 100, Feet Road, Vadapalani, Chennai - 600 026"
"Anuraga Palace, Treehouse Palace Hotel",Sawai Madhopur,Rajasthan,Hotel,4.0,4.5,26.0169176317,76.3649125045,"Ranthambore Road, Sawai Madhopur,"
ASHTAMI RESORT,Wayanad,Kerala,Resort,0.0,4.0,11.6517395,76.187579,"ASHTAMI RESORT,Meenangadi MEPPRIKUNU"
